Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
146,320,113,2,2.0,2.5,8.64,1,0.81
6,330,115,5,4.5,3.0,9.34,1,0.9
155,326,108,3,3.0,3.5,8.89,0,0.8
311,320,104,3,3.0,3.5,8.74,1,0.76
8,308,101,2,3.0,4.0,7.9,0,0.68
261,327,108,5,5.0,3.5,9.13,1,0.87
69,318,109,3,3.5,4.0,9.22,1,0.68
21,312,107,3,3.0,2.0,7.9,1,0.64
108,338,117,4,3.5,4.5,9.46,1,0.91
15,311,104,3,3.5,2.0,8.2,1,0.61
364,306,103,2,2.5,3.0,8.36,0,0.69
305,313,106,2,2.5,2.0,8.43,0,0.62
362,334,116,4,4.0,3.5,9.54,1,0.93
330,297,96,2,2.5,1.5,7.89,0,0.43
337,319,110,3,3.0,2.5,8.79,0,0.72
65,325,111,3,3.0,3.5,8.7,0,0.52
56,320,103,3,3.0,3.0,7.7,0,0.64
107,329,111,4,4.5,4.5,9.18,1,0.87
301,309,106,2,2.5,2.5,8.0,0,0.62
230,324,111,4,3.0,3.0,9.01,1,0.82
123,310,106,4,1.5,2.5,8.36,0,0.57
374,321,109,3,3.0,3.0,8.54,1,0.79
396,324,110,3,3.5,3.5,9.04,1,0.82
326,326,116,3,3.5,4.0,9.14,1,0.81
381,322,104,3,3.5,4.0,8.84,1,0.78
254,335,115,4,4.5,4.5,9.68,1,0.93
57,316,102,3,2.0,3.0,7.4,0,0.64
9,302,102,1,2.0,1.5,8.0,0,0.5
191,324,111,5,4.5,4.0,9.16,1,0.9
147,315,105,3,2.0,2.5,8.48,0,0.75
136,314,109,4,3.5,4.0,8.77,1,0.82
391,314,102,2,2.0,2.5,8.24,0,0.64
265,325,110,2,3.0,2.5,8.76,1,0.75
365,313,102,3,3.5,4.0,8.9,1,0.77
251,320,104,3,3.0,2.5,8.57,1,0.74
64,315,107,2,4.0,3.0,8.5,1,0.56
313,311,107,4,4.5,4.5,9.0,1,0.78
160,297,100,1,1.5,2.0,7.9,0,0.52
284,321,111,3,2.5,3.0,8.9,1,0.8
341,312,107,3,3.0,3.0,8.46,1,0.75
82,340,120,4,5.0,5.0,9.5,1,0.96
350,313,101,3,2.5,3.0,8.04,0,0.62
154,324,105,3,3.0,4.0,8.75,0,0.79
296,317,100,2,3.0,2.5,8.57,0,0.68
97,306,100,2,3.0,3.0,8.0,0,0.48
90,316,109,4,4.5,3.5,8.76,1,0.74
297,310,107,3,3.5,3.5,8.67,0,0.76
22,325,114,4,3.0,2.0,8.4,0,0.7
366,330,114,4,4.5,3.0,9.17,1,0.86
217,322,112,4,4.5,4.5,9.26,1,0.91
260,331,119,4,5.0,4.5,9.34,1,0.9
50,327,111,4,3.0,4.0,8.4,1,0.78
239,310,104,3,2.0,3.5,8.37,0,0.7
344,305,103,2,2.5,3.5,8.13,0,0.59
93,298,98,2,4.0,3.0,8.03,0,0.34
224,308,109,2,3.0,4.0,8.45,0,0.71
235,330,113,5,5.0,4.0,9.31,1,0.91
233,312,107,2,2.5,3.5,8.27,0,0.69
378,290,100,1,1.5,2.0,7.56,0,0.47
143,331,115,5,4.0,3.5,9.44,1,0.92
23,328,116,5,5.0,5.0,9.5,1,0.94
253,318,100,2,2.5,3.5,8.54,1,0.71
351,318,107,3,3.0,3.5,8.27,1,0.74
169,293,97,2,2.0,4.0,7.8,1,0.64
151,334,114,4,4.0,4.0,9.43,1,0.93
394,317,104,2,3.0,3.0,8.76,0,0.77
67,327,114,3,3.0,3.0,9.02,0,0.61
241,296,101,1,2.5,3.0,7.68,0,0.6
219,324,110,4,3.0,3.5,8.97,1,0.84
102,312,105,2,2.5,3.0,8.12,0,0.64
312,328,108,4,4.5,4.0,9.18,1,0.84
195,316,109,3,3.5,3.0,8.76,0,0.77
327,299,100,3,2.0,2.0,8.02,0,0.63
18,319,106,3,4.0,3.0,8.0,1,0.65
165,329,111,4,4.5,4.0,9.01,1,0.81
187,317,107,3,3.5,3.0,8.68,1,0.84
31,300,97,2,3.0,3.0,8.1,1,0.65
115,311,105,3,3.5,3.0,8.45,1,0.59
264,324,111,3,2.5,1.5,8.79,1,0.7
104,317,104,2,4.5,4.0,8.47,0,0.57
359,314,105,2,2.5,2.0,7.64,0,0.7
246,328,110,4,4.0,2.5,9.02,1,0.81
236,326,111,5,4.5,4.0,9.23,1,0.88
117,299,102,3,4.0,3.5,8.62,0,0.56
331,327,113,3,3.5,3.0,8.66,1,0.8
121,335,117,5,5.0,5.0,9.56,1,0.94
290,313,109,3,4.0,3.5,9.0,0,0.79
113,301,107,3,3.5,3.5,8.34,1,0.62
216,330,116,5,5.0,4.5,9.36,1,0.93
137,312,103,3,5.0,4.0,8.45,0,0.76
276,322,110,3,3.5,3.0,8.96,1,0.78
127,323,113,3,4.0,3.0,9.32,1,0.85
199,311,104,3,4.5,4.5,8.43,0,0.7
300,305,112,3,3.0,3.5,8.65,0,0.71
282,317,110,3,4.0,4.5,9.11,1,0.8
134,323,112,5,4.0,4.5,8.78,0,0.79
34,340,114,5,4.0,4.0,9.6,1,0.9
379,303,98,1,2.0,2.5,7.65,0,0.56
163,318,109,3,3.0,3.0,8.5,0,0.67
35,331,112,5,4.0,5.0,9.8,1,0.94
232,319,106,3,3.5,2.5,8.33,1,0.74
98,331,120,3,4.0,4.0,8.96,1,0.86
86,319,103,4,4.5,3.5,8.66,0,0.76
62,307,101,3,4.0,3.0,8.2,0,0.47
168,313,102,3,2.0,3.0,8.27,0,0.64
283,312,106,3,4.0,3.5,8.79,1,0.81
201,317,103,3,2.5,3.0,8.54,1,0.73
392,318,106,3,2.0,3.0,8.65,0,0.71
231,313,104,3,4.0,4.5,8.65,0,0.73
288,324,114,5,5.0,4.5,9.08,1,0.89
109,331,116,5,5.0,5.0,9.38,1,0.93
47,329,114,5,4.0,5.0,9.3,1,0.86
321,317,106,3,4.0,3.5,8.5,1,0.75
397,325,107,3,3.0,3.5,9.11,1,0.84
225,305,105,2,3.0,2.0,8.23,0,0.67
74,314,108,4,4.5,4.0,9.04,1,0.84
138,316,100,2,1.5,3.0,8.16,1,0.71
382,319,105,3,3.0,3.5,8.67,1,0.73
221,313,103,3,4.0,4.0,8.75,0,0.76
211,325,108,4,4.5,4.0,9.06,1,0.79
30,310,99,2,1.5,2.0,7.3,0,0.54
182,305,107,2,2.5,2.5,8.42,0,0.71
361,322,110,3,4.0,5.0,8.64,1,0.85
272,299,96,2,1.5,2.0,7.86,0,0.54
52,312,100,2,1.5,3.5,7.9,1,0.56
329,324,112,4,4.0,3.5,8.77,1,0.8
353,303,100,2,3.0,3.5,8.06,1,0.64
28,298,98,2,1.5,2.5,7.5,1,0.44
3,316,104,3,3.0,3.5,8.0,1,0.72
218,321,109,4,4.0,4.0,9.13,1,0.85
157,315,105,3,2.0,2.5,8.34,0,0.7
213,338,120,4,5.0,5.0,9.66,1,0.95
377,297,96,2,2.5,2.0,7.43,0,0.34
222,316,110,3,3.5,4.0,8.56,0,0.75
139,326,116,2,4.5,3.0,9.08,1,0.8
237,325,112,4,4.0,4.5,9.17,1,0.85
220,312,104,3,3.5,3.5,8.42,0,0.74
275,315,100,1,2.0,2.5,7.95,0,0.58
279,308,103,2,3.0,3.5,8.49,0,0.66
308,325,112,4,4.0,4.0,9.0,1,0.8
240,299,100,1,1.5,2.0,7.89,0,0.59
36,320,110,5,5.0,5.0,9.2,1,0.88
205,298,105,3,3.5,4.0,8.54,0,0.69
393,326,112,4,4.0,3.5,9.12,1,0.84
68,316,107,2,3.5,3.5,8.64,1,0.57
25,336,119,5,4.0,3.5,9.8,1,0.97
333,308,106,3,3.5,2.5,8.21,1,0.75
45,326,113,5,4.5,4.0,9.4,1,0.91
242,317,103,2,2.5,2.0,8.15,0,0.65
130,333,118,5,5.0,5.0,9.35,1,0.92
94,301,97,2,3.0,3.0,7.88,1,0.44
112,321,109,4,4.0,4.0,8.68,1,0.69
167,302,102,3,3.5,5.0,8.33,0,0.65
390,320,108,3,3.5,4.0,8.44,1,0.76
384,300,100,3,3.0,3.5,8.26,0,0.62
343,308,106,3,3.0,3.0,8.24,0,0.58
41,308,110,3,3.5,3.0,8.0,1,0.46
19,318,110,3,4.0,3.0,8.8,0,0.63
285,340,112,4,5.0,4.5,9.66,1,0.94
80,294,93,1,1.5,2.0,7.36,0,0.46
250,321,111,3,3.5,4.0,8.83,1,0.77
395,329,111,4,4.5,4.0,9.23,1,0.89
72,336,112,5,5.0,5.0,9.76,1,0.96
14,307,109,3,4.0,3.0,8.0,1,0.62
368,311,98,1,1.0,2.5,7.46,0,0.57
214,333,119,5,5.0,4.5,9.78,1,0.96
386,335,117,5,5.0,5.0,9.82,1,0.96
389,296,97,2,1.5,2.0,7.8,0,0.49
229,318,112,3,4.0,3.5,8.67,0,0.71
161,315,103,1,1.5,2.0,7.86,0,0.57
105,326,112,3,3.5,3.0,9.05,1,0.74
162,298,99,1,1.5,3.0,7.46,0,0.53
84,322,115,5,4.0,4.5,9.36,1,0.92
190,324,112,5,5.0,5.0,9.08,1,0.88
398,330,116,4,5.0,4.5,9.45,1,0.91
119,296,99,2,3.0,3.5,7.28,0,0.47
255,321,114,4,4.0,5.0,9.12,0,0.85
189,331,115,5,4.5,3.5,9.36,1,0.93
209,305,106,2,3.0,3.0,8.16,0,0.64
376,304,101,2,2.0,2.5,7.66,0,0.38
111,305,108,5,3.0,3.0,8.48,0,0.61
150,311,106,2,3.5,3.0,8.26,1,0.79
158,309,104,2,2.0,2.5,8.26,0,0.65
153,321,112,5,5.0,5.0,9.06,1,0.86
17,317,107,3,4.0,3.0,8.7,0,0.66
270,308,108,4,4.5,5.0,8.34,0,0.77
76,329,114,2,2.0,4.0,8.56,1,0.72
110,304,103,5,5.0,4.0,8.64,0,0.68
328,295,101,2,2.5,2.0,7.86,0,0.69
206,295,99,2,2.5,3.0,7.65,0,0.57
316,308,104,2,2.5,3.0,8.07,0,0.65
140,318,109,1,3.5,3.5,9.12,0,0.78
238,329,114,5,4.5,5.0,9.19,1,0.86
320,327,113,4,3.5,3.0,8.69,1,0.8
249,324,110,3,3.5,4.0,8.87,1,0.8
309,312,108,3,3.5,3.0,8.53,0,0.69
20,303,102,3,3.5,3.0,8.5,0,0.62
227,306,110,2,3.5,4.0,8.45,0,0.63
307,323,110,3,4.0,3.5,9.1,1,0.79
4,322,110,3,3.5,2.5,8.67,1,0.8
277,329,113,5,5.0,4.5,9.45,1,0.89
126,300,100,3,2.0,3.0,8.66,1,0.64
78,301,99,2,3.0,2.0,8.22,0,0.64
185,316,106,2,2.5,4.0,8.32,0,0.72
302,319,108,2,2.5,3.0,8.76,0,0.66
380,311,99,1,2.5,3.0,8.43,1,0.71
347,304,97,2,1.5,2.0,7.64,0,0.47
183,299,100,2,3.0,3.5,7.88,0,0.68
357,327,109,3,3.5,4.0,8.77,1,0.79
81,312,105,3,2.0,3.0,8.02,1,0.5
259,326,102,4,5.0,5.0,8.76,1,0.77
12,327,111,4,4.0,4.5,9.0,1,0.84
299,330,114,3,4.5,4.5,9.24,1,0.9
87,315,106,3,4.5,3.5,8.42,0,0.72
267,312,105,2,2.0,2.5,8.45,0,0.72
37,299,106,2,4.0,4.0,8.4,0,0.64
383,324,110,4,4.5,4.0,9.15,1,0.82
59,300,99,1,3.0,2.0,6.8,1,0.36
42,316,105,2,2.5,2.5,8.2,1,0.49
271,306,105,2,2.5,3.0,8.22,1,0.72
51,313,98,3,2.5,4.5,8.3,1,0.76
210,301,104,3,3.5,4.0,8.12,1,0.68
318,300,99,1,1.0,2.5,8.01,0,0.58
317,298,101,2,1.5,2.0,7.86,0,0.54
332,311,105,2,3.0,2.0,8.12,1,0.73
124,308,108,3,3.5,3.5,8.22,0,0.61
223,324,113,4,4.5,4.0,8.79,0,0.76
63,304,105,2,3.0,3.0,8.2,1,0.54
303,322,105,2,3.0,3.0,8.45,1,0.65
131,339,114,5,4.0,4.5,9.76,1,0.96
188,335,118,5,4.5,3.5,9.44,1,0.93
24,334,119,5,5.0,4.5,9.7,1,0.95
44,332,117,4,4.5,4.0,9.1,0,0.87
1,337,118,4,4.5,4.5,9.65,1,0.92
202,315,110,2,3.5,3.0,8.46,1,0.72
340,324,107,5,3.5,4.0,8.66,1,0.81
99,332,119,4,5.0,4.5,9.24,1,0.9
388,307,105,2,2.0,3.5,8.1,0,0.53
179,309,108,3,2.5,3.0,8.12,0,0.72
257,309,99,3,4.0,4.0,8.56,0,0.76
95,303,99,3,2.0,2.5,7.66,0,0.36
370,301,98,1,2.0,3.0,8.03,1,0.67
96,304,100,4,1.5,2.5,7.84,0,0.42
352,325,110,4,3.5,4.0,8.67,1,0.73
170,311,99,2,2.5,3.0,7.98,0,0.65
70,328,115,4,4.5,4.0,9.16,1,0.78
306,321,109,3,3.5,3.5,8.8,1,0.74
49,321,110,3,3.5,5.0,8.85,1,0.82
208,310,102,3,3.5,4.0,8.02,1,0.66
280,304,102,2,3.0,4.0,8.73,0,0.67
228,312,110,2,3.5,3.0,8.53,0,0.64
149,339,116,4,4.0,3.5,9.8,1,0.96
144,340,120,4,4.5,4.0,9.92,1,0.97
181,300,104,3,3.5,3.0,8.16,0,0.71
132,303,105,5,5.0,4.5,8.65,0,0.77
358,301,104,2,3.5,3.5,7.89,1,0.68
399,312,103,3,3.5,4.0,8.78,0,0.67
263,308,103,2,2.5,4.0,8.36,1,0.7
325,315,104,3,3.0,2.5,8.33,0,0.67
204,334,120,5,4.0,5.0,9.87,1,0.97
85,340,115,5,4.5,4.5,9.45,1,0.94
122,334,119,5,4.5,4.5,9.48,1,0.94
346,316,98,1,1.5,2.0,7.43,0,0.49
367,320,104,3,3.5,4.5,8.34,1,0.74
92,299,97,3,5.0,3.5,7.66,0,0.38
83,320,110,5,5.0,4.5,9.22,1,0.92
268,314,107,3,3.0,3.5,8.17,1,0.73
120,327,104,5,3.0,3.5,8.84,1,0.71
292,300,102,2,1.5,2.0,7.87,0,0.56
58,298,99,2,4.0,2.0,7.6,0,0.46
322,323,104,3,4.0,4.0,8.44,1,0.73
258,324,100,3,4.0,5.0,8.64,1,0.78
356,317,106,2,2.0,3.5,8.12,0,0.73
43,313,107,2,2.5,2.0,8.5,1,0.53
106,316,110,3,4.0,4.5,8.78,1,0.69
369,298,92,1,2.0,2.0,7.88,0,0.51
274,312,99,1,1.0,1.5,8.01,1,0.52
354,300,102,3,3.5,2.5,8.17,0,0.63
39,304,105,1,3.0,1.5,7.5,0,0.52
54,324,112,4,4.0,2.5,8.1,1,0.72
348,299,94,1,1.0,1.0,7.34,0,0.42
129,326,112,3,3.5,3.0,9.1,1,0.84
291,307,105,2,2.5,3.0,7.65,0,0.58
29,295,93,1,2.0,2.0,7.2,0,0.46
184,314,110,3,4.0,4.0,8.8,0,0.75
164,317,105,3,3.5,3.0,8.56,0,0.68
152,332,116,5,5.0,5.0,9.28,1,0.94
245,314,107,2,2.5,4.0,8.56,0,0.63
203,340,120,5,4.5,4.5,9.91,1,0.97
32,327,103,3,4.0,4.0,8.3,1,0.74
33,338,118,4,3.0,4.5,9.4,1,0.91
128,319,112,3,2.5,2.0,8.71,1,0.78
186,327,113,4,4.5,4.5,9.11,1,0.89
373,336,119,4,4.5,4.0,9.62,1,0.95
